4129537,9983,20160712,0.032771062
6949378,3429,20160706,0.061322287
2166529,6928,20160727,0.005496172
2166529,1808,20160727,0.009901419
6172162,6500,20160708,0.03965903
4005121,9983,20160706,0.06328543
4347394,9983,20160716,0.067547426
3094273,13602,20160727,0.030098645
5139970,9983,20160729,0.009134913
3237121,13602,20160703,0.03122654
6224386,9983,20160716,0.02128388
6488578,13602,20160712,0.0665732
4164865,9983,20160703,0.04888749
4164865,8059,20160706,0.04033185
5468674,9983,20160713,0.061322287
6258178,9144,20160706,0.10874073
3659521,7341,20160727,0.04899496
3659521,13181,20160717,0.06253517
3659521,13602,20160718,0.123161145
7333378,13602,20160704,0.095996976
7333378,785,20160727,0.053733304
4454914,2978,20160711,0.09490506
6817282,8375,20160724,0.015128313
3149569,10418,20160721,0.04411196
6301186,1715,20160718,0.07248715
6301186,4203,20160708,0.005744451
2891521,13602,20160724,0.075042665
3422977,13602,20160727,0.06328543
4771330,13602,20160726,0.013737816
4513282,11799,20160712,0.012110056
3439873,13602,20160713,0.06328543
6632962,13602,20160727,0.08567732
6632962,10438,20160705,0.0074146492
6912514,9934,20160724,0.075042665
2821891,10418,20160702,0.050832972
3872515,10418,20160704,0.0641799
3872515,2978,20160704,0.06558203
2699011,13602,20160705,0.0665732
5406214,3903,20160722,0.016725762
5406214,2440,20160722,0.016725762
3359491,10418,20160725,0.027554186
4147459,5743,20160715,0.07046996
5427718,4912,20160704,0.034356017
5427718,662,20160704,0.033702344
5427718,1528,20160704,0.038680475
2848003,13602,20160702,0.027928464
2726659,10842,20160724,0.032727115
3649795,2978,20160723,0.11323502
3649795,10418,20160701,0.08604308
2612995,9983,20160703,0.022246713
3808003,9983,20160721,0.012247383
3812611,3992,20160721,0.019455507
3425539,3992,20160719,0.0695635
6853126,13181,20160721,0.0887896
4251142,10609,20160707,0.04411196
3442435,13602,20160713,0.06328543
3182851,11986,20160731,0.022210242
7175686,7774,20160706,0.09404887
7175686,9983,20160717,0.113000594
3199747,8059,20160712,0.028467877
3199747,3429,20160718,0.013362765
6140422,6480,20160728,0.096982874
4001029,13602,20160704,0.03275148
3873541,2978,20160718,0.08979893
4603402,5482,20160723,0.055441342
6443530,13602,20160722,0.055854175
3627781,10418,20160713,0.06328543
4913674,8059,20160712,0.028119095
3506437,13602,20160719,0.0665732
2196229,6614,20160717,0.013040525
2329861,13849,20160724,0.057224076
3514117,9967,20160706,0.007015073
5733898,13183,20160705,0.1006524
2480389,2978,20160703,0.10613047
3928837,1904,20160722,0.04780715
3017989,13602,20160730,0.04349988
3017989,9983,20160704,0.09271386
5776906,13602,20160706,0.06328543
6332938,13602,20160724,0.075042665
5568010,8596,20160722,0.02549533
2398981,13602,20160722,0.025154075
3208453,10418,20160713,0.011489781
7205386,13602,20160729,0.025154075
4866574,13602,20160723,0.095985964
4866574,9983,20160725,0.051156916
5394958,2601,20160712,0.026119824
6445582,13602,20160713,0.06328543
3748615,13602,20160709,0.072536044
3748615,11184,20160703,0.07221961
5941774,9983,20160711,0.02191335
2842375,3429,20160725,0.06826967
